probe_seed,comparison,dominant_class,class_name,metric,candidate,baseline,candidate_cluster_mean,baseline_cluster_mean,candidate_minus_baseline,ci_lower,ci_upper,confidence,n_resamples,n_repeats,n_reference_clusters,static_baseline_broadcast_across_repeats,direction,noninferiority_tolerance,point_improves,interval_confirms_improvement,point_within_tolerance,interval_confirms_noninferiority,material_harm_detected
42,severe_both_fists,2.0,both_fists,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.0915943646480331,0.10192913216011039,-0.010334767512077294,-0.019708414208074537,-0.0008880316166321536,0.95,5000,20,32,True,lower,0.01,True,True,True,True,False
21,severe_both_feet,3.0,both_feet,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.17045063784843434,0.25596525496800393,-0.08551461711956955,-0.10938319560601538,-0.06016078043249265,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
42,severe_both_feet,3.0,both_feet,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.17616945827079003,0.250023178841432,-0.07385372057064196,-0.10223212131577103,-0.0408696654318738,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
21,severe_both_feet,3.0,both_feet,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.4290195824706694,0.4285940061033472,0.00042557636732228933,-0.0009064757753191828,0.0017536312758799218,0.95,5000,20,32,False,higher,0.01,True,False,True,True,False
42,severe_both_feet,3.0,both_feet,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.4339409048266045,0.4280900486326777,0.005850856193926847,0.0036351265285326064,0.008126209077380946,0.95,5000,20,32,False,higher,0.01,True,True,True,True,False
21,severe_both_feet,3.0,both_feet,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.17309141002415457,0.18803636128364387,-0.014944951259489306,-0.02183614642641477,-0.00787430717305039,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
42,severe_both_feet,3.0,both_feet,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.09297203890614214,0.13379275577984814,-0.04082071687370601,-0.04957331025707385,-0.030808208247066957,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
21,severe_both_feet,3.0,both_feet,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.17045063784843434,0.1563889497341981,0.014061688114236238,-0.013057406959291999,0.03874120615956425,0.95,5000,20,32,True,lower,0.0,False,False,False,False,False
42,severe_both_feet,3.0,both_feet,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.17616945827079003,0.19068730921548682,-0.014517850944696814,-0.03275798559115509,0.0036306793325083723,0.95,5000,20,32,True,lower,0.0,True,False,True,False,False
21,severe_both_feet,3.0,both_feet,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.4290195824706694,0.4253485701345756,0.0036710123360938485,0.0019019953146566602,0.0054647891595496784,0.95,5000,20,32,True,higher,0.01,True,True,True,True,False
42,severe_both_feet,3.0,both_feet,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.4339409048266045,0.4356991890959282,-0.0017582842693236785,-0.003722761724141653,0.00017724036512249187,0.95,5000,20,32,True,higher,0.01,False,False,True,True,False
21,severe_both_feet,3.0,both_feet,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.17309141002415457,0.126043823326432,0.047047586697722577,0.031422838757332656,0.06256208484299515,0.95,5000,20,32,True,lower,0.01,False,False,False,False,True
42,severe_both_feet,3.0,both_feet,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.09297203890614214,0.10192913216011039,-0.008957093253968245,-0.02186032393029675,0.0037758071299171894,0.95,5000,20,32,True,lower,0.01,True,False,True,True,False
