target_view,montage,held_out_reference,method,class_index,class_name,car_recall,target_recall,absolute_recall_gap
native32@C2,native32,c2,pooled_bias,3,both_feet,0.41545893719806765,0.4975845410628019,0.08212560386473428
native32@C2,native32,c2,topology_ridge,0,left_fist,0.46190476190476193,0.43333333333333335,0.02857142857142858
native32@C2,native32,c2,topology_ridge,1,right_fist,0.4830917874396135,0.4444444444444444,0.03864734299516909
native32@C2,native32,c2,topology_ridge,2,both_fists,0.6904761904761905,0.680952380952381,0.00952380952380949
native32@C2,native32,c2,topology_ridge,3,both_feet,0.41545893719806765,0.4396135265700483,0.024154589371980673
native32@C2,native32,c2,logit_ridge,0,left_fist,0.46190476190476193,0.41904761904761906,0.04285714285714287
native32@C2,native32,c2,logit_ridge,1,right_fist,0.4830917874396135,0.4492753623188406,0.03381642512077293
native32@C2,native32,c2,logit_ridge,2,both_fists,0.6904761904761905,0.7,0.00952380952380949
native32@C2,native32,c2,logit_ridge,3,both_feet,0.41545893719806765,0.41545893719806765,0.0
native32@C2,native32,c2,combined_ridge,0,left_fist,0.46190476190476193,0.41904761904761906,0.04285714285714287
native32@C2,native32,c2,combined_ridge,1,right_fist,0.4830917874396135,0.4492753623188406,0.03381642512077293
native32@C2,native32,c2,combined_ridge,2,both_fists,0.6904761904761905,0.7,0.00952380952380949
native32@C2,native32,c2,combined_ridge,3,both_feet,0.41545893719806765,0.4106280193236715,0.004830917874396157
native32@C2,native32,c2,oracle,0,left_fist,0.46190476190476193,0.4142857142857143,0.047619047619047616
native32@C2,native32,c2,oracle,1,right_fist,0.4830917874396135,0.4492753623188406,0.03381642512077293
native32@C2,native32,c2,oracle,2,both_fists,0.6904761904761905,0.6904761904761905,0.0
native32@C2,native32,c2,oracle,3,both_feet,0.41545893719806765,0.42028985507246375,0.004830917874396101
native32@C3,native32,c3,identity,0,left_fist,0.680952380952381,0.3904761904761905,0.2904761904761905
native32@C3,native32,c3,identity,1,right_fist,0.5748792270531401,0.7053140096618358,0.13043478260869568
native32@C3,native32,c3,identity,2,both_fists,0.23809523809523808,0.2,0.03809523809523807
native32@C3,native32,c3,identity,3,both_feet,0.3526570048309179,0.3719806763285024,0.019323671497584516
native32@C3,native32,c3,global_mean,0,left_fist,0.46190476190476193,0.2619047619047619,0.2
native32@C3,native32,c3,global_mean,1,right_fist,0.4830917874396135,0.4830917874396135,0.0
native32@C3,native32,c3,global_mean,2,both_fists,0.6904761904761905,0.7238095238095238,0.033333333333333326
native32@C3,native32,c3,global_mean,3,both_feet,0.41545893719806765,0.30917874396135264,0.106280193236715
native32@C3,native32,c3,pooled_bias,0,left_fist,0.46190476190476193,0.24285714285714285,0.21904761904761907
native32@C3,native32,c3,pooled_bias,1,right_fist,0.4830917874396135,0.463768115942029,0.019323671497584516
native32@C3,native32,c3,pooled_bias,2,both_fists,0.6904761904761905,0.7285714285714285,0.03809523809523807
native32@C3,native32,c3,pooled_bias,3,both_feet,0.41545893719806765,0.2898550724637681,0.12560386473429952
native32@C3,native32,c3,topology_ridge,0,left_fist,0.46190476190476193,0.3476190476190476,0.11428571428571432
native32@C3,native32,c3,topology_ridge,1,right_fist,0.4830917874396135,0.4927536231884058,0.009661835748792313
native32@C3,native32,c3,topology_ridge,2,both_fists,0.6904761904761905,0.6952380952380952,0.004761904761904745
native32@C3,native32,c3,topology_ridge,3,both_feet,0.41545893719806765,0.30917874396135264,0.106280193236715
native32@C3,native32,c3,logit_ridge,0,left_fist,0.46190476190476193,0.38571428571428573,0.0761904761904762
native32@C3,native32,c3,logit_ridge,1,right_fist,0.4830917874396135,0.45410628019323673,0.028985507246376774
native32@C3,native32,c3,logit_ridge,2,both_fists,0.6904761904761905,0.6857142857142857,0.004761904761904745
native32@C3,native32,c3,logit_ridge,3,both_feet,0.41545893719806765,0.3864734299516908,0.02898550724637683
native32@C3,native32,c3,combined_ridge,0,left_fist,0.46190476190476193,0.38571428571428573,0.0761904761904762
native32@C3,native32,c3,combined_ridge,1,right_fist,0.4830917874396135,0.45410628019323673,0.028985507246376774
native32@C3,native32,c3,combined_ridge,2,both_fists,0.6904761904761905,0.6619047619047619,0.02857142857142858
native32@C3,native32,c3,combined_ridge,3,both_feet,0.41545893719806765,0.3671497584541063,0.048309178743961345
native32@C3,native32,c3,oracle,0,left_fist,0.46190476190476193,0.41904761904761906,0.04285714285714287
native32@C3,native32,c3,oracle,1,right_fist,0.4830917874396135,0.45410628019323673,0.028985507246376774
native32@C3,native32,c3,oracle,2,both_fists,0.6904761904761905,0.6857142857142857,0.004761904761904745
native32@C3,native32,c3,oracle,3,both_feet,0.41545893719806765,0.3719806763285024,0.043478260869565244
native32@C4,native32,c4,identity,0,left_fist,0.680952380952381,0.7714285714285715,0.09047619047619049
native32@C4,native32,c4,identity,1,right_fist,0.5748792270531401,0.391304347826087,0.18357487922705312
native32@C4,native32,c4,identity,2,both_fists,0.23809523809523808,0.21904761904761905,0.019047619047619035
native32@C4,native32,c4,identity,3,both_feet,0.3526570048309179,0.4782608695652174,0.12560386473429952
native32@C4,native32,c4,global_mean,0,left_fist,0.46190476190476193,0.5285714285714286,0.06666666666666665
native32@C4,native32,c4,global_mean,1,right_fist,0.4830917874396135,0.3188405797101449,0.1642512077294686
