target_view,montage,held_out_reference,method,n_bias_fit_subjects,n_evaluation_subjects,n_training_views,target_reference_labels_used,target_bias_rmse,car_anchor_balanced_accuracy,max_class_recall_gap_to_car,mean_class_recall_gap_to_car,prediction_disagreement_from_identity,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,nll,ece_15,worst_class_recall
native32@FC4,native32,fc4,identity,10,9,48,False,1.5560079192843965,0.4616459627329193,0.15458937198067635,0.11518288474810212,0.0,0.4304556354916067,0.4304865424430642,0.3999221123529946,0.7435672644268182,1.6126476697859817,0.3042142460199625,0.1
native32@FC4,native32,fc4,global_mean,10,9,48,False,0.7381574067067701,0.5127329192546584,0.1333333333333333,0.10543478260869563,0.3609112709832134,0.5107913669064749,0.5101966873706004,0.5090278304607952,0.748481344408833,1.4128411469987376,0.18024465421078298,0.3671497584541063
native32@FC4,native32,fc4,pooled_bias,10,9,48,False,0.7272205369188024,0.5127329192546584,0.1333333333333333,0.09946514837819183,0.3752997601918465,0.511990407673861,0.511335403726708,0.5101909382615992,0.748469750411255,1.4200100627188312,0.18105387332394907,0.36231884057971014
native32@FC4,native32,fc4,topology_ridge,10,9,48,False,0.1716055945551879,0.5127329192546584,0.06280193236714976,0.04087301587301585,0.4448441247002398,0.5203836930455635,0.5198240165631469,0.5215762239097532,0.7494784876006271,1.3731779612611539,0.1772765344825894,0.42028985507246375
native32@FC4,native32,fc4,logit_ridge,10,9,48,False,0.02118139366451778,0.5127329192546584,0.048309178743961345,0.02772601794340923,0.460431654676259,0.5167865707434053,0.5163043478260869,0.5181332439524184,0.7493696041965493,1.3677230746616342,0.17914319504735038,0.43478260869565216
native32@FC4,native32,fc4,combined_ridge,10,9,48,False,0.031337360765586006,0.5127329192546584,0.048309178743961345,0.02772601794340923,0.460431654676259,0.5167865707434053,0.5163043478260869,0.5181332439524184,0.7493794191019592,1.368405346350159,0.1794295374168439,0.43478260869565216
native32@FC4,native32,fc4,oracle,10,9,48,True,0.0,0.5127329192546584,0.04347826086956519,0.025310559006211153,0.4592326139088729,0.5167865707434053,0.5163043478260869,0.517986533136288,0.7493557162178444,1.3668532545704444,0.1786947833053688,0.4396135265700483
native32@FC5,native32,fc5,identity,10,9,49,False,0.7807964311434947,0.4616459627329193,0.33333333333333337,0.15812629399585923,0.0,0.44004796163069543,0.44120082815734984,0.4263529160059403,0.7242473131739435,1.4410349110147245,0.2239339135193913,0.21428571428571427
native32@FC5,native32,fc5,global_mean,10,9,49,False,0.845368482727336,0.5127329192546584,0.34761904761904766,0.15327812284334025,0.41127098321342925,0.44364508393285373,0.44389233954451346,0.4118100147249348,0.7291848895288541,1.607759191652838,0.24080475688086928,0.11428571428571428
native32@FC5,native32,fc5,pooled_bias,10,9,49,False,0.8925665965561489,0.5127329192546584,0.3523809523809524,0.16164596273291926,0.42805755395683454,0.44004796163069543,0.44021739130434784,0.4063114681841876,0.7294167143137394,1.6341496940252216,0.24849439720229022,0.10952380952380952
native32@FC5,native32,fc5,topology_ridge,10,9,49,False,0.3506660251370273,0.5127329192546584,0.12077294685990336,0.0937025534851622,0.37889688249400477,0.47721822541966424,0.4770013802622498,0.4707997959425909,0.736873699495267,1.3648724283017053,0.16183184398471862,0.34285714285714286
